Ticker,Bond_ID,CF,Year
TYZ2022,US91282CAE12,0.6792,2022
FVH2022,US91282CCZ23,0.8005,2022
FVM2022,US91282CDK45,0.8181,2022
FVU2022,US91282CEF41,0.8637,2022
FVZ2022,US91282CEW73,0.8929,2022
TUH2022,US91282CBA80,0.9038,2022
TUM2022,US91282CBV28,0.9037,2022
TUU2022,US91282CCG42,0.9058,2022
TUZ2022,US91282CCX74,0.9079,2022
TYH2022,US912828Z948,0.7243,2022
TYM2022,US912828ZQ64,0.6707,2022
TYU2022,US91282CAE12,0.6707,2022
TYZ2022,US91282CAV37,0.686,2022
FVH2022,US91282CDG33,0.8071,2022
FVM2022,US91282CDQ15,0.8151,2022
FVU2022,US91282CEN74,0.8714,2022
FVZ2022,US91282CFB28,0.8714,2022
TUH2022,US91282CBE03,0.8994,2022
TUM2022,US91282CCC38,0.8973,2022
TUU2022,US91282CCL37,0.9037,2022
TUZ2022,US91282CDB46,0.908,2022
TYH2022,US912828ZQ64,0.6624,2022
TYM2022,US91282CAE12,0.6624,2022
TYU2022,US91282CAV37,0.6781,2022
TYZ2022,US91282CBL46,0.6938,2022
FVH2022,US91282CDK45,0.8091,2022
FVM2022,US91282CEC10,0.8342,2022
FVU2022,US91282CET45,0.8643,2022
FVZ2022,US91282CFH97,0.8844,2022
TUH2022,US91282CBM29,0.8951,2022
TUM2022,US91282CCG42,0.8931,2022
TUU2022,US91282CCT62,0.8996,2022
TUZ2022,US91282CDH16,0.9063,2022
TYH2022,US91282CAE12,0.6542,2022
TYM2022,US91282CAV37,0.6703,2022
TYU2022,US91282CBL46,0.6864,2022
TYZ2022,US91282CCB54,0.7185,2022
FVH2022,US91282CDQ15,0.8062,2022
FVM2022,US91282CEF41,0.8571,2022
FVU2022,US91282CEW73,0.8877,2022
FVZ2022,US91282CFM82,0.9234,2022
TUH2022,US91282CBR16,0.8931,2022
TUM2022,US91282CEG24,0.9385,2022
TUU2022,US91282CCX74,0.8955,2022
TUZ2022,US91282CDN83,0.9071,2022
TYH2022,US91282CAV37,0.6626,2022
TYM2022,US91282CBL46,0.6791,2022
TYU2022,US91282CCB54,0.712,2022
TYZ2022,US91282CCS89,0.6873,2022
FVH2022,US91282CEC10,0.8266,2022
FVM2022,US91282CEN74,0.8653,2022
FVU2022,US91282CFB28,0.8653,2022
FVZ2022,US91282CFU09,0.9223,2022
TUH2022,US91282CDR97,0.914,2022
TUM2022,US91282CEK36,0.94,2022
TUU2022,US91282CEX56,0.9508,2022
TUZ2022,US91282CFN65,0.9713,2022
TYH2022,US91282CBL46,0.6718,2022
TYM2022,US91282CCB54,0.7055,2022
TYU2022,US91282CCS89,0.6803,2022
TYZ2022,US91282CDJ71,0.6887,2022
FVH2022,US91282CEF41,0.8507,2022
FVM2022,US91282CET45,0.8581,2022
FVU2022,US91282CFH97,0.8791,2022
FVZ2022,US91282CFZ95,0.9106,2022
TUH2022,US91282CDV00,0.9122,2022
TUM2022,US91282CER88,0.9375,2022
TUU2022,US91282CFA45,0.9486,2022
TUZ2022,US91282CFQ96,0.9721,2022
TYH2022,US91282CCB54,0.6991,2022
TYM2022,US91282CCS89,0.6734,2022
TYU2022,US91282CDJ71,0.682,2022
TYZ2022,US91282CDY49,0.7163,2022
FVM2022,US91282CEW73,0.8827,2022
FVU2022,US91282CFM82,0.92,2022
TUH2022,US91282CEA53,0.9196,2022
TUM2022,US91282CEX56,0.9442,2022
TUU2022,US91282CFG15,0.9509,2022
TUZ2022,US91282CFX48,0.9732,2022
TYH2022,US91282CCS89,0.6665,2022
TYM2022,US91282CDJ71,0.6753,2022
TYU2022,US91282CDY49,0.7104,2022
TYZ2022,US91282CEP23,0.7806,2022
TUH2022,US91282CEG24,0.9303,2022
TUU2022,US91282CFN65,0.9675,2022
TYH2022,US91282CCY57,0.7474,2022
TYM2022,US91282CDP32,0.7541,2022
TYU2022,US91282CEE75,0.8072,2022
TYZ2022,US91282CEV90,0.8538,2022
TYH2022,US91282CDF59,0.7541,2022
TYM2022,US91282CDW82,0.774,2022
TYU2022,US91282CEM91,0.8338,2022
TYZ2022,US91282CFC01,0.8205,2022
TYH2022,US91282CDJ71,0.6688,2022
TYM2022,US91282CDY49,0.7046,2022
TYU2022,US91282CEP23,0.7762,2022
TYZ2022,US91282CFF32,0.7672,2022
TYH2022,US91282CDL28,0.7607,2022
TYM2022,US91282CEB37,0.7807,2022
TYU2022,US91282CES61,0.8272,2022
TYZ2022,US91282CFJ53,0.8471,2022
TYH2022,US91282CDP32,0.7463,2022
TYM2022,US91282CEE75,0.8012,2022
TYU2022,US91282CEV90,0.8491,2022
TYZ2022,US91282CFL00,0.8834,2022
TYH2022,US91282CDW82,0.7669,2022
TYM2022,US91282CEM91,0.8286,2022
TYU2022,US91282CFC01,0.8149,2022
TYZ2022,US91282CFT36,0.8902,2022
TYH2022,US91282CDY49,0.6988,2022
TYM2022,US91282CEP23,0.7718,2022
TYU2022,US91282CFF32,0.7627,2022
TYZ2022,US91282CFV81,0.863,2022
TYH2022,US91282CEB37,0.7738,2022
TYM2022,US91282CES61,0.8217,2022
TYU2022,US91282CFJ53,0.8423,2022
TYZ2022,US91282CFY21,0.8834,2022
TYH2023,US912828YS30,0.774,2023
TYM2023,US912828Z948,0.7607,2023
TYU2023,US912828ZQ64,0.7142,2023
TYZ2023,US91282CAE12,0.7142,2023
FVH2023,US91282CET45,0.8771,2023
FVM2023,US91282CFH97,0.8953,2023
